SIM,SOLVER,ERP,RESTITUTION,TIMESTEP,ERROR
"RAI","RAI",0,0.8,0.01,11835076.4967995
"DART","DANTZIG",0,1,0.0001,3467048.36669575
"DART","DANTZIG",0,1,0.001,1142529919.7162
"DART","DANTZIG",0,1,0.01,17691728.3870592
"DART","PGS",0,1,0.0001,34946215.5257851
"DART","PGS",0,1,0.001,110412873.905878
"DART","PGS",0,1,0.01,17787461.0937156
"ODE","QUICK",0,1,0.0001,11537892602.6152
"ODE","QUICK",0,1,0.001,11536938513.7981
"ODE","QUICK",0,1,0.01,11523117577.3055
"ODE","STANDARD",0,1,0.0001,11537892602.5096
"ODE","STANDARD",0,1,0.001,11536938513.5845
"ODE","STANDARD",0,1,0.01,11523117577.629
"RAI","RAI",0,1,0.0001,146493.848340167
"RAI","RAI",0,1,0.001,3476.47648439459
"RAI","RAI",0,1,0.01,14358793.7487269
